dk_name,dk_id
Ja'Marr Chase,39506085
Bijan Robinson,39505777
Jahmyr Gibbs,39505779
Puka Nacua,39506087
Christian McCaffrey,39505781
Bucky Irving,39505783
Amon-Ra St. Brown,39506091
Ashton Jeanty,39505785
Jayden Daniels,39505688
Malik Nabers,39506093
De'Von Achane,39505787
Jonathan Taylor,39505789
Brian Thomas Jr.,39506095
Tyreek Hill,39506097
Josh Jacobs,39505791
Baker Mayfield,39505690
Mike Evans,39506099
Brock Bowers,39506677
Drake London,39506101
Jared Goff,39505691
Kyren Williams,39505795
Breece Hall,39505797
Kyler Murray,39505692
Garrett Wilson,39506105
Alvin Kamara,39505799
Terry McLaurin,39506107
Brock Purdy,39505694
James Conner,39505803
Jordan Love,39505695
Davante Adams,39506109
Chuba Hubbard,39505805
Courtland Sutton,39506111
Kenneth Walker III,39505807
Matthew Stafford,39505697
Brian Robinson Jr.,39505809
RJ Harvey,39505811
George Kittle,39506681
Jaylen Waddle,39506117
Bryce Young,39505699
Michael Penix Jr.,39505700
Chris Godwin,39506119
Tyrone Tracy Jr.,39505817
Jerome Ford,39505819
Drake Maye,39505701
TreVeyon Henderson,39505823
Marvin Harrison Jr.,39506121
Jameson Williams,39506123
Rhamondre Stevenson,39505825
Justin Fields,39505702
Travis Etienne Jr.,39505827
Jerry Jeudy,39506125
Jayden Reed,39506127
Stefon Diggs,39506131
Kaleb Johnson,39505831
Trevor Lawrence,39505704
Isaac Guerendo,39505829
Cooper Kupp,39506129
Geno Smith,39505706
Aaron Rodgers,39505705
Jaylen Warren,39505833
Deebo Samuel Sr.,39506133
Tetairoa McMillan,39506135
Nick Chubb,39505835
Woody Marks,39505837
Jakobi Meyers,39506137
Rachaad White,39505839
Anthony Richardson Sr.,39505707
Daniel Jones,39505708
Chris Olave,39506139
Cam Skattebo,39505843
Quinshon Judkins,39505841
Raheem Mostert,39505847
Tyler Allgeier,39505849
Darnell Mooney,39506143
Russell Wilson,39505709
Rico Dowdle,39505845
Travis Hunter,39506145
Cameron Ward,39505710
Calvin Ridley,39506141
Braelon Allen,39505853
Jaylen Wright,39505857
Michael Pittman Jr.,39506149
Kenny Pickett,39505712
Dillon Gabriel,39505713
Shedeur Sanders,39505714
Dylan Sampson,39505855
