dk_name,nfl_name,match_type,similarity,dk_id,nfl_id,canonical_name,confidence
Ja'Marr Chase,J.Chase,database,1.0,39506085,00-0036900,Ja'Marr Chase,1.0
Bijan Robinson,B.Robinson,database,1.0,39505777,00-0037746,Bijan Robinson,1.0
Jahmyr Gibbs,J.Gibbs,database,1.0,39505779,00-0039139,Jahmyr Gibbs,1.0
Puka Nacua,P.Nacua,database,1.0,39506087,00-0039075,Puka Nacua,1.0
Nico Collins,N.Collins,database,1.0,39506089,00-0036554,Nico Collins,1.0
Christian McCaffrey,C.McCaffrey,database,1.0,39505781,00-0033280,Christian McCaffrey,1.0
Joe Burrow,J.Burrow,database,1.0,39505689,00-0036442,Joe Burrow,1.0
Tyreek Hill,T.Hill,database,1.0,39506097,00-0033040,Tyreek Hill,1.0
Chase Brown,A.St. Brown,database,1.0,39505793,00-0036963,Chase Brown,1.0
Tee Higgins,T.Higgins,database,1.0,39506103,00-0036410,Tee Higgins,1.0
Bo Nix,B.Nix,database,1.0,39505693,00-0039732,Bo Nix,1.0
Trey McBride,T.McBride,database,1.0,39506679,00-0037744,Trey McBride,1.0
Joe Mixon,J.Mixon,database,1.0,39505801,00-0033897,Joe Mixon,1.0
C.J. Stroud,C.Stroud,database,1.0,39505696,00-0039163,C.J. Stroud,1.0
DK Metcalf,D.Metcalf,database,1.0,39506113,00-0035640,DK Metcalf,1.0
Tua Tagovailoa,T.Tagovailoa,database,1.0,39505698,00-0036212,Tua Tagovailoa,1.0
Jaxon Smith-Njigba,J.Smith-Njigba,database,1.0,39506115,00-0038543,Jaxon Smith-Njigba,1.0
Tony Pollard,T.Pollard,database,1.0,39505813,00-0035261,Tony Pollard,1.0
David Montgomery,D.Montgomery,database,1.0,39505815,00-0035685,David Montgomery,1.0
J.K. Dobbins,J.Dobbins,database,1.0,39505821,00-0036158,J.K. Dobbins,1.0
Sam Darnold,S.Darnold,database,1.0,39505703,00-0034869,Sam Darnold,1.0
Sam LaPorta,S.LaPorta,database,1.0,39506683,00-0039065,Sam LaPorta,1.0
Joe Flacco,J.Flacco,database,1.0,39505711,00-0026158,Joe Flacco,1.0
Zach Charbonnet,Z.Charbonnet,database,1.0,39505851,00-0039165,Zach Charbonnet,1.0
Adam Thielen,A.Thielen,database,1.0,39506157,00-0030035,Adam Thielen,1.0
Kirk Cousins,K.Cousins,database,1.0,39505720,00-0029604,Kirk Cousins,1.0
Devin Singletary,D.Singletary,database,1.0,39505875,00-0035250,Devin Singletary,1.0
Jake Browning,J.Browning,database,1.0,39505729,00-0035100,Jake Browning,1.0
Jimmy Garoppolo,J.Garoppolo,database,1.0,39505730,00-0031345,Jimmy Garoppolo,1.0
Kyle Williams,K.Williams,database,1.0,39506183,00-0037840,Kyle Williams,1.0
Cam Akers,C.Akers,database,1.0,39505901,00-0036414,Cam Akers,1.0
Nick Mullens,N.Mullens,database,1.0,39505734,00-0033319,Nick Mullens,1.0
Mac Jones,A.Jones,database,1.0,39505737,00-0033293,Mac Jones,1.0
Cam Miller,A.Miller,database,1.0,39505775,00-0034353,Cam Miller,1.0
Kene Nwangwu,K.Nwangwu,database,1.0,39506057,00-0036842,Kene Nwangwu,1.0
D.J. Williams,J.Williams,database,1.0,39506039,00-0033948,D.J. Williams,1.0
Josh Williams,J.Williams,database,1.0,39506041,00-0033948,Josh Williams,1.0
Emari Demercado,E.Demercado,database,1.0,39506015,00-0038705,Emari Demercado,1.0
